,fault_1,fault_2,fault_3,fault_4,fault_5,fault_6,file_name
31,0,0,0,0,0,0,dataset/group00041/00041/00041071_temp.jpg
32,1,0,1,1,1,1,dataset/group00041/00041/00041215_test.jpg
33,0,0,0,0,0,0,dataset/group00041/00041/00041215_temp.jpg
34,1,1,1,1,1,1,dataset/group00041/00041/00041187_test.jpg
35,0,0,0,0,0,0,dataset/group00041/00041/00041187_temp.jpg
36,1,1,0,1,1,1,dataset/group00041/00041/00041171_test.jpg
37,0,0,0,0,0,0,dataset/group00041/00041/00041171_temp.jpg
38,1,0,1,1,1,1,dataset/group00041/00041/00041210_test.jpg
39,0,0,0,0,0,0,dataset/group00041/00041/00041210_temp.jpg
40,0,1,1,1,1,1,dataset/group00041/00041/00041110_test.jpg
41,0,0,0,0,0,0,dataset/group00041/00041/00041110_temp.jpg
42,1,1,1,1,1,1,dataset/group00041/00041/00041023_test.jpg
43,0,0,0,0,0,0,dataset/group00041/00041/00041023_temp.jpg
44,1,1,1,1,1,1,dataset/group00041/00041/00041180_test.jpg
45,0,0,0,0,0,0,dataset/group00041/00041/00041180_temp.jpg
46,1,1,0,1,1,1,dataset/group00041/00041/00041080_test.jpg
47,0,0,0,0,0,0,dataset/group00041/00041/00041080_temp.jpg
48,1,1,1,1,0,1,dataset/group00041/00041/00041127_test.jpg
49,0,0,0,0,0,0,dataset/group00041/00041/00041127_temp.jpg
50,1,1,1,1,1,1,dataset/group00041/00041/00041026_test.jpg
51,0,0,0,0,0,0,dataset/group00041/00041/00041026_temp.jpg
52,1,0,1,1,1,1,dataset/group00041/00041/00041069_test.jpg
53,0,0,0,0,0,0,dataset/group00041/00041/00041069_temp.jpg
54,1,1,1,1,0,0,dataset/group00041/00041/00041177_test.jpg
55,0,0,0,0,0,0,dataset/group00041/00041/00041177_temp.jpg
56,1,1,0,1,1,1,dataset/group00041/00041/00041058_test.jpg
57,0,0,0,0,0,0,dataset/group00041/00041/00041058_temp.jpg
58,1,1,1,1,1,1,dataset/group00041/00041/00041079_test.jpg
59,0,0,0,0,0,0,dataset/group00041/00041/00041079_temp.jpg
60,1,1,1,1,1,1,dataset/group00041/00041/00041036_test.jpg
61,0,0,0,0,0,0,dataset/group00041/00041/00041036_temp.jpg
62,1,1,1,1,1,1,dataset/group00041/00041/00041190_test.jpg
63,0,0,0,0,0,0,dataset/group00041/00041/00041190_temp.jpg
64,1,0,1,1,1,0,dataset/group00041/00041/00041146_test.jpg
65,0,0,0,0,0,0,dataset/group00041/00041/00041146_temp.jpg
66,1,1,1,1,1,1,dataset/group00041/00041/00041138_test.jpg
67,0,0,0,0,0,0,dataset/group00041/00041/00041138_temp.jpg
68,1,0,1,0,1,1,dataset/group00041/00041/00041198_test.jpg
69,0,0,0,0,0,0,dataset/group00041/00041/00041198_temp.jpg
70,1,1,1,1,1,1,dataset/group00041/00041/00041142_test.jpg
71,0,0,0,0,0,0,dataset/group00041/00041/00041142_temp.jpg
72,1,0,1,1,1,1,dataset/group00041/00041/00041130_test.jpg
73,0,0,0,0,0,0,dataset/group00041/00041/00041130_temp.jpg
74,1,0,1,1,1,1,dataset/group00041/00041/00041203_test.jpg
75,0,0,0,0,0,0,dataset/group00041/00041/00041203_temp.jpg
76,1,1,1,1,1,1,dataset/group00041/00041/00041024_test.jpg
77,0,0,0,0,0,0,dataset/group00041/00041/00041024_temp.jpg
78,1,1,1,1,1,1,dataset/group00041/00041/00041111_test.jpg
79,0,0,0,0,0,0,dataset/group00041/00041/00041111_temp.jpg
80,1,1,0,1,1,1,dataset/group00041/00041/00041213_test.jpg
81,0,0,0,0,0,0,dataset/group00041/00041/00041213_temp.jpg
82,1,1,1,1,1,1,dataset/group00041/00041/00041014_test.jpg
83,0,0,0,0,0,0,dataset/group00041/00041/00041014_temp.jpg
84,1,1,1,1,1,1,dataset/group00041/00041/00041076_test.jpg
85,0,0,0,0,0,0,dataset/group00041/00041/00041076_temp.jpg
86,1,1,1,1,1,0,dataset/group00041/00041/00041129_test.jpg
87,0,0,0,0,0,0,dataset/group00041/00041/00041129_temp.jpg
88,1,1,1,0,1,1,dataset/group00041/00041/00041008_test.jpg
89,0,0,0,0,0,0,dataset/group00041/00041/00041008_temp.jpg
90,1,1,1,1,1,1,dataset/group00041/00041/00041149_test.jpg
91,0,0,0,0,0,0,dataset/group00041/00041/00041149_temp.jpg
92,1,1,1,1,1,1,dataset/group00041/00041/00041181_test.jpg
93,0,0,0,0,0,0,dataset/group00041/00041/00041181_temp.jpg
94,1,1,1,1,1,1,dataset/group00041/00041/00041085_test.jpg
95,0,0,0,0,0,0,dataset/group00041/00041/00041085_temp.jpg
96,1,1,1,1,0,1,dataset/group00041/00041/00041186_test.jpg
97,0,0,0,0,0,0,dataset/group00041/00041/00041186_temp.jpg
98,0,0,1,1,1,1,dataset/group00041/00041/00041109_test.jpg
99,0,0,0,0,0,0,dataset/group00041/00041/00041109_temp.jpg
100,1,1,1,1,1,1,dataset/group00041/00041/00041065_test.jpg
101,0,0,0,0,0,0,dataset/group00041/00041/00041065_temp.jpg
102,1,1,1,1,1,1,dataset/group00041/00041/00041114_test.jpg
103,0,0,0,0,0,0,dataset/group00041/00041/00041114_temp.jpg
104,1,1,1,1,1,1,dataset/group00041/00041/00041136_test.jpg
105,0,0,0,0,0,0,dataset/group00041/00041/00041136_temp.jpg
106,1,0,1,0,1,1,dataset/group00041/00041/00041015_test.jpg
107,0,0,0,0,0,0,dataset/group00041/00041/00041015_temp.jpg
108,1,1,1,1,1,1,dataset/group00041/00041/00041081_test.jpg
109,0,0,0,0,0,0,dataset/group00041/00041/00041081_temp.jpg
110,1,0,1,1,1,1,dataset/group00041/00041/00041113_test.jpg
111,0,0,0,0,0,0,dataset/group00041/00041/00041113_temp.jpg
112,1,1,0,1,1,1,dataset/group00041/00041/00041098_test.jpg
113,0,0,0,0,0,0,dataset/group00041/00041/00041098_temp.jpg
114,1,1,1,0,1,1,dataset/group00041/00041/00041096_test.jpg
115,0,0,0,0,0,0,dataset/group00041/00041/00041096_temp.jpg
116,1,1,1,0,1,1,dataset/group00041/00041/00041165_test.jpg
117,0,0,0,0,0,0,dataset/group00041/00041/00041165_temp.jpg
118,1,0,1,1,1,0,dataset/group00041/00041/00041218_test.jpg
119,0,0,0,0,0,0,dataset/group00041/00041/00041218_temp.jpg
120,1,1,0,1,1,1,dataset/group00041/00041/00041106_test.jpg
121,0,0,0,0,0,0,dataset/group00041/00041/00041106_temp.jpg
122,1,0,1,0,0,1,dataset/group00041/00041/00041191_test.jpg
123,0,0,0,0,0,0,dataset/group00041/00041/00041191_temp.jpg
124,1,1,1,1,0,1,dataset/group00041/00041/00041050_test.jpg
125,0,0,0,0,0,0,dataset/group00041/00041/00041050_temp.jpg
126,1,1,1,1,0,1,dataset/group00041/00041/00041220_test.jpg
127,0,0,0,0,0,0,dataset/group00041/00041/00041220_temp.jpg
128,1,0,1,1,1,1,dataset/group00041/00041/00041116_test.jpg
129,0,0,0,0,0,0,dataset/group00041/00041/00041116_temp.jpg
130,1,0,1,1,1,0,dataset/group00041/00041/00041157_test.jpg
131,0,0,0,0,0,0,dataset/group00041/00041/00041157_temp.jpg
132,1,1,0,1,1,1,dataset/group00041/00041/00041093_test.jpg
133,0,0,0,0,0,0,dataset/group00041/00041/00041093_temp.jpg
134,1,1,1,1,1,1,dataset/group00041/00041/00041056_test.jpg
135,0,0,0,0,0,0,dataset/group00041/00041/00041056_temp.jpg
136,1,1,1,1,1,1,dataset/group00041/00041/00041125_test.jpg
137,0,0,0,0,0,0,dataset/group00041/00041/00041125_temp.jpg
138,1,0,1,1,1,1,dataset/group00041/00041/00041021_test.jpg
139,0,0,0,0,0,0,dataset/group00041/00041/00041021_temp.jpg
140,1,1,0,1,1,1,dataset/group00041/00041/00041173_test.jpg
141,0,0,0,0,0,0,dataset/group00041/00041/00041173_temp.jpg
142,1,1,1,1,1,1,dataset/group00041/00041/00041091_test.jpg
143,0,0,0,0,0,0,dataset/group00041/00041/00041091_temp.jpg
144,1,0,1,1,1,1,dataset/group00041/00041/00041104_test.jpg
145,0,0,0,0,0,0,dataset/group00041/00041/00041104_temp.jpg
146,1,1,1,1,1,1,dataset/group00041/00041/00041092_test.jpg
147,0,0,0,0,0,0,dataset/group00041/00041/00041092_temp.jpg
148,1,1,0,1,1,1,dataset/group00041/00041/00041155_test.jpg
149,0,0,0,0,0,0,dataset/group00041/00041/00041155_temp.jpg
150,1,1,1,1,1,1,dataset/group00041/00041/00041112_test.jpg
151,0,0,0,0,0,0,dataset/group00041/00041/00041112_temp.jpg
152,1,1,1,0,1,1,dataset/group00041/00041/00041087_test.jpg
153,0,0,0,0,0,0,dataset/group00041/00041/00041087_temp.jpg
154,1,1,1,1,1,1,dataset/group00041/00041/00041176_test.jpg
155,0,0,0,0,0,0,dataset/group00041/00041/00041176_temp.jpg
156,1,1,1,1,0,1,dataset/group00041/00041/00041183_test.jpg
157,0,0,0,0,0,0,dataset/group00041/00041/00041183_temp.jpg
158,1,1,1,1,1,1,dataset/group00041/00041/00041088_test.jpg
159,0,0,0,0,0,0,dataset/group00041/00041/00041088_temp.jpg
160,1,1,0,1,1,1,dataset/group00041/00041/00041078_test.jpg
161,0,0,0,0,0,0,dataset/group00041/00041/00041078_temp.jpg
162,1,1,1,1,1,1,dataset/group00041/00041/00041131_test.jpg
163,0,0,0,0,0,0,dataset/group00041/00041/00041131_temp.jpg
164,1,1,1,1,1,1,dataset/group00041/00041/00041016_test.jpg
165,0,0,0,0,0,0,dataset/group00041/00041/00041016_temp.jpg
166,1,1,1,0,1,1,dataset/group00041/00041/00041051_test.jpg
167,0,0,0,0,0,0,dataset/group00041/00041/00041051_temp.jpg
168,1,0,1,0,1,1,dataset/group00041/00041/00041003_test.jpg
169,0,0,0,0,0,0,dataset/group00041/00041/00041003_temp.jpg
170,1,0,1,0,1,1,dataset/group00041/00041/00041062_test.jpg
171,0,0,0,0,0,0,dataset/group00041/00041/00041062_temp.jpg
172,1,1,1,1,1,0,dataset/group00041/00041/00041009_test.jpg
173,0,0,0,0,0,0,dataset/group00041/00041/00041009_temp.jpg
174,1,1,1,1,0,1,dataset/group00041/00041/00041037_test.jpg
175,0,0,0,0,0,0,dataset/group00041/00041/00041037_temp.jpg
176,1,1,1,1,1,1,dataset/group00041/00041/00041013_test.jpg
177,0,0,0,0,0,0,dataset/group00041/00041/00041013_temp.jpg
178,0,1,0,1,1,1,dataset/group00041/00041/00041002_test.jpg
179,0,0,0,0,0,0,dataset/group00041/00041/00041002_temp.jpg
180,1,1,1,1,1,0,dataset/group00041/00041/00041072_test.jpg
181,0,0,0,0,0,0,dataset/group00041/00041/00041072_temp.jpg
182,1,0,1,0,0,1,dataset/group00041/00041/00041214_test.jpg
183,0,0,0,0,0,0,dataset/group00041/00041/00041214_temp.jpg
184,1,0,1,0,0,1,dataset/group00041/00041/00041219_test.jpg
185,0,0,0,0,0,0,dataset/group00041/00041/00041219_temp.jpg
186,1,1,0,1,1,0,dataset/group00041/00041/00041207_test.jpg
187,0,0,0,0,0,0,dataset/group00041/00041/00041207_temp.jpg
188,1,1,1,1,1,1,dataset/group00041/00041/00041102_test.jpg
189,0,0,0,0,0,0,dataset/group00041/00041/00041102_temp.jpg
190,1,1,1,1,1,0,dataset/group00041/00041/00041007_test.jpg
191,0,0,0,0,0,0,dataset/group00041/00041/00041007_temp.jpg
192,1,1,1,1,1,1,dataset/group00041/00041/00041053_test.jpg
193,0,0,0,0,0,0,dataset/group00041/00041/00041053_temp.jpg
194,1,1,0,1,1,1,dataset/group00041/00041/00041075_test.jpg
195,0,0,0,0,0,0,dataset/group00041/00041/00041075_temp.jpg
196,1,0,1,1,0,0,dataset/group00041/00041/00041020_test.jpg
197,0,0,0,0,0,0,dataset/group00041/00041/00041020_temp.jpg
198,1,0,1,0,1,1,dataset/group00041/00041/00041201_test.jpg
199,0,0,0,0,0,0,dataset/group00041/00041/00041201_temp.jpg
200,1,1,1,1,1,1,dataset/group00041/00041/00041040_test.jpg
201,0,0,0,0,0,0,dataset/group00041/00041/00041040_temp.jpg
202,1,1,1,0,1,1,dataset/group00041/00041/00041022_test.jpg
203,0,0,0,0,0,0,dataset/group00041/00041/00041022_temp.jpg
204,1,0,1,1,1,1,dataset/group00041/00041/00041192_test.jpg
205,0,0,0,0,0,0,dataset/group00041/00041/00041192_temp.jpg
206,1,1,1,1,1,1,dataset/group00041/00041/00041077_test.jpg
207,0,0,0,0,0,0,dataset/group00041/00041/00041077_temp.jpg
208,1,1,0,1,1,1,dataset/group00041/00041/00041066_test.jpg
209,0,0,0,0,0,0,dataset/group00041/00041/00041066_temp.jpg
210,1,1,1,1,1,1,dataset/group00041/00041/00041105_test.jpg
211,0,0,0,0,0,0,dataset/group00041/00041/00041105_temp.jpg
212,1,1,1,1,1,1,dataset/group00041/00041/00041108_test.jpg
213,0,0,0,0,0,0,dataset/group00041/00041/00041108_temp.jpg
214,1,1,1,1,1,1,dataset/group00041/00041/00041004_test.jpg
215,0,0,0,0,0,0,dataset/group00041/00041/00041004_temp.jpg
216,1,1,1,1,1,1,dataset/group00041/00041/00041133_test.jpg
217,0,0,0,0,0,0,dataset/group00041/00041/00041133_temp.jpg
218,1,1,1,0,1,1,dataset/group00041/00041/00041099_test.jpg
219,0,0,0,0,0,0,dataset/group00041/00041/00041099_temp.jpg
220,1,0,1,1,1,1,dataset/group00041/00041/00041153_test.jpg
221,0,0,0,0,0,0,dataset/group00041/00041/00041153_temp.jpg
222,1,1,1,1,1,1,dataset/group00041/00041/00041027_test.jpg
223,0,0,0,0,0,0,dataset/group00041/00041/00041027_temp.jpg
224,1,1,1,1,1,1,dataset/group00041/00041/00041042_test.jpg
225,0,0,0,0,0,0,dataset/group00041/00041/00041042_temp.jpg
226,1,0,1,1,1,1,dataset/group00041/00041/00041182_test.jpg
227,0,0,0,0,0,0,dataset/group00041/00041/00041182_temp.jpg
228,0,0,1,0,1,1,dataset/group00041/00041/00041029_test.jpg
229,0,0,0,0,0,0,dataset/group00041/00041/00041029_temp.jpg
230,1,1,1,1,0,0,dataset/group00041/00041/00041209_test.jpg
231,0,0,0,0,0,0,dataset/group00041/00041/00041209_temp.jpg
232,1,0,1,0,1,1,dataset/group00041/00041/00041197_test.jpg
233,0,0,0,0,0,0,dataset/group00041/00041/00041197_temp.jpg
234,1,1,1,0,1,1,dataset/group00041/00041/00041073_test.jpg
235,0,0,0,0,0,0,dataset/group00041/00041/00041073_temp.jpg
236,1,1,1,1,1,1,dataset/group00041/00041/00041043_test.jpg
237,0,0,0,0,0,0,dataset/group00041/00041/00041043_temp.jpg
238,1,1,1,1,1,1,dataset/group00041/00041/00041124_test.jpg
239,0,0,0,0,0,0,dataset/group00041/00041/00041124_temp.jpg
240,1,1,1,1,1,1,dataset/group00041/00041/00041018_test.jpg
241,0,0,0,0,0,0,dataset/group00041/00041/00041018_temp.jpg
242,1,1,1,1,1,1,dataset/group00041/00041/00041189_test.jpg
243,0,0,0,0,0,0,dataset/group00041/00041/00041189_temp.jpg
244,1,0,1,1,1,1,dataset/group00041/00041/00041179_test.jpg
245,0,0,0,0,0,0,dataset/group00041/00041/00041179_temp.jpg
246,1,1,0,1,1,1,dataset/group00041/00041/00041144_test.jpg
247,0,0,0,0,0,0,dataset/group00041/00041/00041144_temp.jpg
248,1,1,1,0,1,1,dataset/group00041/00041/00041097_test.jpg
249,0,0,0,0,0,0,dataset/group00041/00041/00041097_temp.jpg
250,1,1,1,1,1,1,dataset/group00041/00041/00041057_test.jpg
251,0,0,0,0,0,0,dataset/group00041/00041/00041057_temp.jpg
252,1,1,1,1,1,1,dataset/group00041/00041/00041046_test.jpg
253,0,0,0,0,0,0,dataset/group00041/00041/00041046_temp.jpg
254,1,1,1,1,1,1,dataset/group00041/00041/00041030_test.jpg
255,0,0,0,0,0,0,dataset/group00041/00041/00041030_temp.jpg
256,1,1,1,1,1,1,dataset/group00041/00041/00041028_test.jpg
257,0,0,0,0,0,0,dataset/group00041/00041/00041028_temp.jpg
258,1,1,1,1,1,1,dataset/group00041/00041/00041034_test.jpg
259,0,0,0,0,0,0,dataset/group00041/00041/00041034_temp.jpg
260,1,1,0,1,1,1,dataset/group00041/00041/00041005_test.jpg
261,0,0,0,0,0,0,dataset/group00041/00041/00041005_temp.jpg
262,1,0,1,0,0,1,dataset/group00041/00041/00041175_test.jpg
263,0,0,0,0,0,0,dataset/group00041/00041/00041175_temp.jpg
264,1,1,1,1,1,1,dataset/group00041/00041/00041047_test.jpg
265,0,0,0,0,0,0,dataset/group00041/00041/00041047_temp.jpg
266,1,1,1,1,1,1,dataset/group00041/00041/00041060_test.jpg
267,0,0,0,0,0,0,dataset/group00041/00041/00041060_temp.jpg
268,1,1,1,1,1,1,dataset/group00041/00041/00041128_test.jpg
269,0,0,0,0,0,0,dataset/group00041/00041/00041128_temp.jpg
270,1,1,1,1,1,1,dataset/group00041/00041/00041010_test.jpg
271,0,0,0,0,0,0,dataset/group00041/00041/00041010_temp.jpg
272,1,0,1,1,1,1,dataset/group00041/00041/00041019_test.jpg
273,0,0,0,0,0,0,dataset/group00041/00041/00041019_temp.jpg
274,1,1,1,0,1,1,dataset/group00041/00041/00041163_test.jpg
275,0,0,0,0,0,0,dataset/group00041/00041/00041163_temp.jpg
276,1,1,1,1,1,1,dataset/group00041/00041/00041000_test.jpg
277,0,0,0,0,0,0,dataset/group00041/00041/00041000_temp.jpg
278,1,0,1,1,1,1,dataset/group00041/00041/00041216_test.jpg
279,0,0,0,0,0,0,dataset/group00041/00041/00041216_temp.jpg
280,1,1,1,1,1,1,dataset/group00041/00041/00041140_test.jpg
281,0,0,0,0,0,0,dataset/group00041/00041/00041140_temp.jpg
282,1,1,1,1,1,1,dataset/group00041/00041/00041162_test.jpg
283,0,0,0,0,0,0,dataset/group00041/00041/00041162_temp.jpg
284,1,1,1,1,1,1,dataset/group00041/00041/00041039_test.jpg
285,0,0,0,0,0,0,dataset/group00041/00041/00041039_temp.jpg
286,1,1,1,1,1,1,dataset/group00041/00041/00041052_test.jpg
287,0,0,0,0,0,0,dataset/group00041/00041/00041052_temp.jpg
288,1,1,1,0,1,1,dataset/group00041/00041/00041137_test.jpg
289,0,0,0,0,0,0,dataset/group00041/00041/00041137_temp.jpg
290,0,1,1,1,0,1,dataset/group00041/00041/00041054_test.jpg
291,0,0,0,0,0,0,dataset/group00041/00041/00041054_temp.jpg
292,1,1,1,1,1,1,dataset/group00041/00041/00041048_test.jpg
293,0,0,0,0,0,0,dataset/group00041/00041/00041048_temp.jpg
294,1,0,1,1,1,1,dataset/group00041/00041/00041126_test.jpg
295,0,0,0,0,0,0,dataset/group00041/00041/00041126_temp.jpg
296,1,1,1,1,1,1,dataset/group00041/00041/00041170_test.jpg
297,0,0,0,0,0,0,dataset/group00041/00041/00041170_temp.jpg
298,0,0,1,1,1,1,dataset/group00041/00041/00041107_test.jpg
299,0,0,0,0,0,0,dataset/group00041/00041/00041107_temp.jpg
300,1,0,1,1,1,1,dataset/group00041/00041/00041164_test.jpg
301,0,0,0,0,0,0,dataset/group00041/00041/00041164_temp.jpg
302,1,1,1,1,0,1,dataset/group00041/00041/00041174_test.jpg
303,0,0,0,0,0,0,dataset/group00041/00041/00041174_temp.jpg
304,1,1,0,1,1,1,dataset/group00041/00041/00041172_test.jpg
305,0,0,0,0,0,0,dataset/group00041/00041/00041172_temp.jpg
306,1,1,1,0,1,1,dataset/group00041/00041/00041031_test.jpg
307,0,0,0,0,0,0,dataset/group00041/00041/00041031_temp.jpg
308,1,0,1,1,1,1,dataset/group00041/00041/00041195_test.jpg
309,0,0,0,0,0,0,dataset/group00041/00041/00041195_temp.jpg
310,1,1,0,1,1,1,dataset/group00041/00041/00041167_test.jpg
311,0,0,0,0,0,0,dataset/group00041/00041/00041167_temp.jpg
312,0,1,1,0,1,1,dataset/group00041/00041/00041132_test.jpg
313,0,0,0,0,0,0,dataset/group00041/00041/00041132_temp.jpg
314,1,1,0,1,1,1,dataset/group00041/00041/00041139_test.jpg
315,0,0,0,0,0,0,dataset/group00041/00041/00041139_temp.jpg
316,1,0,1,1,1,1,dataset/group00041/00041/00041145_test.jpg
317,0,0,0,0,0,0,dataset/group00041/00041/00041145_temp.jpg
318,1,1,1,1,1,1,dataset/group00041/00041/00041045_test.jpg
319,0,0,0,0,0,0,dataset/group00041/00041/00041045_temp.jpg
320,1,1,1,1,1,1,dataset/group00041/00041/00041025_test.jpg
321,0,0,0,0,0,0,dataset/group00041/00041/00041025_temp.jpg
322,1,1,1,1,1,1,dataset/group00041/00041/00041061_test.jpg
323,0,0,0,0,0,0,dataset/group00041/00041/00041061_temp.jpg
324,1,0,1,1,1,1,dataset/group00041/00041/00041185_test.jpg
325,0,0,0,0,0,0,dataset/group00041/00041/00041185_temp.jpg
326,1,1,1,1,1,1,dataset/group00041/00041/00041067_test.jpg
327,0,0,0,0,0,0,dataset/group00041/00041/00041067_temp.jpg
328,1,1,1,1,1,1,dataset/group00041/00041/00041156_test.jpg
329,0,0,0,0,0,0,dataset/group00041/00041/00041156_temp.jpg
330,1,0,1,1,1,0,dataset/group00041/00041/00041196_test.jpg
331,0,0,0,0,0,0,dataset/group00041/00041/00041196_temp.jpg
332,1,0,1,1,1,1,dataset/group00041/00041/00041217_test.jpg
333,0,0,0,0,0,0,dataset/group00041/00041/00041217_temp.jpg
334,1,1,1,1,1,1,dataset/group00041/00041/00041123_test.jpg
335,0,0,0,0,0,0,dataset/group00041/00041/00041123_temp.jpg
336,1,1,1,1,1,1,dataset/group00041/00041/00041121_test.jpg
337,0,0,0,0,0,0,dataset/group00041/00041/00041121_temp.jpg
338,1,1,1,1,0,1,dataset/group00041/00041/00041082_test.jpg
339,0,0,0,0,0,0,dataset/group00041/00041/00041082_temp.jpg
340,1,1,1,1,1,0,dataset/group00041/00041/00041118_test.jpg
341,0,0,0,0,0,0,dataset/group00041/00041/00041118_temp.jpg
342,1,1,1,1,1,1,dataset/group00041/00041/00041044_test.jpg
343,0,0,0,0,0,0,dataset/group00041/00041/00041044_temp.jpg
344,1,1,1,1,1,1,dataset/group00041/00041/00041103_test.jpg
345,0,0,0,0,0,0,dataset/group00041/00041/00041103_temp.jpg
346,1,1,0,1,0,1,dataset/group00041/00041/00041049_test.jpg
347,0,0,0,0,0,0,dataset/group00041/00041/00041049_temp.jpg
348,1,1,1,1,1,1,dataset/group00041/00041/00041160_test.jpg
349,0,0,0,0,0,0,dataset/group00041/00041/00041160_temp.jpg
350,1,0,1,0,1,0,dataset/group00041/00041/00041194_test.jpg
351,0,0,0,0,0,0,dataset/group00041/00041/00041194_temp.jpg
352,1,1,1,1,1,1,dataset/group00041/00041/00041063_test.jpg
353,0,0,0,0,0,0,dataset/group00041/00041/00041063_temp.jpg
354,1,0,1,1,1,1,dataset/group00041/00041/00041152_test.jpg
355,0,0,0,0,0,0,dataset/group00041/00041/00041152_temp.jpg
356,1,1,0,1,1,0,dataset/group00041/00041/00041011_test.jpg
357,0,0,0,0,0,0,dataset/group00041/00041/00041011_temp.jpg
358,1,0,1,1,0,1,dataset/group00041/00041/00041147_test.jpg
359,0,0,0,0,0,0,dataset/group00041/00041/00041147_temp.jpg
360,1,1,1,1,0,0,dataset/group00041/00041/00041119_test.jpg
361,0,0,0,0,0,0,dataset/group00041/00041/00041119_temp.jpg
362,1,1,1,0,1,1,dataset/group00041/00041/00041141_test.jpg
363,0,0,0,0,0,0,dataset/group00041/00041/00041141_temp.jpg
364,1,1,1,1,0,0,dataset/group00041/00041/00041208_test.jpg
365,0,0,0,0,0,0,dataset/group00041/00041/00041208_temp.jpg
366,1,1,1,1,1,1,dataset/group00041/00041/00041115_test.jpg
367,0,0,0,0,0,0,dataset/group00041/00041/00041115_temp.jpg
368,1,1,1,1,1,1,dataset/group00041/00041/00041150_test.jpg
369,0,0,0,0,0,0,dataset/group00041/00041/00041150_temp.jpg
370,1,0,1,1,1,1,dataset/group00041/00041/00041200_test.jpg
371,0,0,0,0,0,0,dataset/group00041/00041/00041200_temp.jpg
372,1,1,1,0,1,1,dataset/group00041/00041/00041100_test.jpg
373,0,0,0,0,0,0,dataset/group00041/00041/00041100_temp.jpg
374,1,1,1,1,1,1,dataset/group00041/00041/00041188_test.jpg
375,0,0,0,0,0,0,dataset/group00041/00041/00041188_temp.jpg
376,1,0,1,1,1,1,dataset/group00041/00041/00041193_test.jpg
377,0,0,0,0,0,0,dataset/group00041/00041/00041193_temp.jpg
378,1,1,1,1,1,1,dataset/group00041/00041/00041059_test.jpg
379,0,0,0,0,0,0,dataset/group00041/00041/00041059_temp.jpg
380,1,1,1,1,1,1,dataset/group00041/00041/00041148_test.jpg
381,0,0,0,0,0,0,dataset/group00041/00041/00041148_temp.jpg
382,1,0,1,1,1,1,dataset/group00041/00041/00041143_test.jpg
383,0,0,0,0,0,0,dataset/group00041/00041/00041143_temp.jpg
384,1,1,1,0,1,1,dataset/group00041/00041/00041070_test.jpg
385,0,0,0,0,0,0,dataset/group00041/00041/00041070_temp.jpg
386,1,1,1,1,1,1,dataset/group00041/00041/00041159_test.jpg
387,0,0,0,0,0,0,dataset/group00041/00041/00041159_temp.jpg
388,1,0,1,1,1,1,dataset/group00041/00041/00041035_test.jpg
389,0,0,0,0,0,0,dataset/group00041/00041/00041035_temp.jpg
390,1,1,1,0,1,0,dataset/group00041/00041/00041166_test.jpg
391,0,0,0,0,0,0,dataset/group00041/00041/00041166_temp.jpg
